1	7466300	4609300	999.82
2	7466300	4609301	999.95
3	7466300	4609302	999.28
4	7466300	4609303	1000.06
5	7466300	4609304	999.45
6	7466300	4609305	999.99
7	7466300	4609306	999.98
8	7466300	4609307	1000.11
9	7466300	4609308	999.69
10	7466300	4609309	1000.69
11	7466300	4609310	1000.02
12	7466300	4609311	1000.11
13	7466300	4609312	1000.59
14	7466300	4609313	999.93
15	7466300	4609314	1000.72
16	7466300	4609315	1000.26
17	7466300	4609316	1001.14
18	7466300	4609317	1000.44
19	7466300	4609318	1001.16
20	7466300	4609319	1000.68
21	7466300	4609320	1000.96
22	7466300	4609321	1001.31
23	7466300	4609322	1000.52
24	7466300	4609323	1001.27
25	7466300	4609324	1000.69
26	7466300	4609325	1001.26
27	7466300	4609326	1000.73
28	7466300	4609327	1001.70
29	7466300	4609328	1000.96
30	7466300	4609329	1001.76
31	7466300	4609330	1000.76
32	7466300	4609331	1000.79
33	7466300	4609332	1001.63
34	7466300	4609333	1000.89
35	7466300	4609334	1001.48
36	7466300	4609335	1000.87
37	7466300	4609336	1001.20
38	7466300	4609337	1000.87
39	7466300	4609338	1001.08
40	7466300	4609339	1000.76
41	7466300	4609340	1001.20
42	7466300	4609341	1000.87
43	7466300	4609342	1000.41
44	7466300	4609343	1000.88
45	7466300	4609344	1000.36
46	7466300	4609345	1000.68
47	7466300	4609346	1000.22
48	7466300	4609347	1000.64
49	7466300	4609348	1000.10
50	7466300	4609349	1000.33
51	7466300	4609350	1000.02
52	7466300	4609351	1000.34
53	7466300	4609352	1000.09
54	7466300	4609353	999.97
55	7466300	4609354	1000.29
56	7466300	4609355	999.84
57	7466300	4609356	1000.32
58	7466300	4609357	999.72
59	7466300	4609358	1000.15
60	7466300	4609359	999.29
61	7466301	4609300	1000.84
62	7466301	4609301	1000.15
63	7466301	4609302	999.78
64	7466301	4609303	1000.61
65	7466301	4609304	1000.28
66	7466301	4609305	1000.50
67	7466301	4609306	1000.32
68	7466301	4609307	1000.52
69	7466301	4609308	1000.47
70	7466301	4609309	1000.69
71	7466301	4609310	1000.41
72	7466301	4609311	1000.58
73	7466301	4609312	1000.77
74	7466301	4609313	1000.44
75	7466301	4609314	1000.99
76	7466301	4609315	1000.19
77	7466301	4609316	1000.97
78	7466301	4609317	1000.57
79	7466301	4609318	1001.11
80	7466301	4609319	1000.55
81	7466301	4609320	1000.98
